# Gnuplot File : positions of 1 particle(s) Monitored
# 1st Column : time, others : particle(s) number 97 
1.26	-0.000185263 0.0173497 -0.000107205	
1.27	-0.000185269 0.0173497 -0.000107205	
1.28	-0.000185275 0.0173497 -0.000107204	
1.29	-0.000185281 0.0173498 -0.000107206	
1.3	-0.000185287 0.0173498 -0.000107206	
1.31	-0.000185292 0.0173498 -0.000107208	
1.32	-0.000185298 0.0173498 -0.000107208	
1.33	-0.000185302 0.0173498 -0.000107212	
1.34	-0.000185306 0.0173498 -0.000107214	
1.35	-0.00018531 0.0173498 -0.000107217	
1.36	-0.000185314 0.0173498 -0.00010722	
1.37	-0.000185317 0.0173498 -0.000107224	
1.38	-0.00018532 0.0173498 -0.000107227	
1.39	-0.000185322 0.0173498 -0.000107231	
1.4	-0.000185323 0.0173498 -0.000107235	
1.41	-0.000185324 0.0173498 -0.00010724	
1.42	-0.000185325 0.0173498 -0.000107244	
1.43	-0.000185326 0.0173498 -0.000107249	
1.44	-0.000185326 0.0173498 -0.000107254	
1.45	-0.000185326 0.0173498 -0.00010726	
1.46	-0.000185327 0.0173499 -0.000107264	
1.47	-0.000185327 0.0173499 -0.00010727	
1.48	-0.000185326 0.0173499 -0.000107276	
1.49	-0.000185324 0.0173499 -0.000107282	
1.5	-0.000185323 0.0173499 -0.000107286	
1.51	-0.000185322 0.0173499 -0.000107293	
1.52	-0.000185321 0.0173499 -0.000107298	
1.53	-0.00018532 0.0173499 -0.000107304	
1.54	-0.000185318 0.0173499 -0.000107309	
1.55	-0.000185316 0.0173499 -0.000107315	
1.56	-0.000185314 0.0173499 -0.00010732	
1.57	-0.000185311 0.0173499 -0.000107326	
1.58	-0.000185309 0.0173499 -0.00010733	
1.59	-0.000185306 0.0173499 -0.000107336	
1.6	-0.000185303 0.0173499 -0.000107341	
1.61	-0.0001853 0.0173499 -0.000107347	
1.62	-0.000185297 0.0173499 -0.000107351	
1.63	-0.000185293 0.0173499 -0.000107357	
1.64	-0.00018529 0.0173499 -0.000107361	
1.65	-0.000185286 0.0173499 -0.000107366	
1.66	-0.000185282 0.0173499 -0.00010737	
1.67	-0.000185278 0.0173499 -0.000107375	
1.68	-0.000185274 0.0173499 -0.000107378	
1.69	-0.00018527 0.0173499 -0.000107383	
1.7	-0.000185266 0.0173499 -0.000107386	
1.71	-0.000185262 0.0173499 -0.00010739	
1.72	-0.000185258 0.0173499 -0.000107393	
1.73	-0.000185254 0.0173499 -0.000107397	
1.74	-0.00018525 0.0173499 -0.000107399	
1.75	-0.000185245 0.0173499 -0.000107403	
